habitaciones;baños;precio;link_inmueble;metros_cuadrados;anunciante;zona;tipo_de_operacion;web;zona_metadata
3;2;95000.0;https://www.idealista.com/inmueble/107396314/;95.0;INMOBILIARIA NORTE;Alcoi;Venta;Idealista;"{""barrio"": null, ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
6;4;690000.0;https://www.idealista.com/inmueble/104508598/;505.0;Particular;Alcoi / Eixample;Venta;Idealista;"{""barrio"": ""Eixample"", ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
4;2;130000.0;https://www.idealista.com/inmueble/105366816/;140.0;NEXT STEP PROPERTIES;Alcoi;Venta;Idealista;"{""barrio"": null, ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
4;2;110000.0;https://www.idealista.com/inmueble/107657435/;90.0;Abenza inmuebles;Alcoi;Venta;Idealista;"{""barrio"": null, ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
4;2;250000.0;https://www.idealista.com/inmueble/108440331/;180.0;Inmobiliaria Numero Uno;Alcoi;Venta;Idealista;"{""barrio"": null, ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
3;2;116150.0;https://www.idealista.com/inmueble/107956346/;131.0;Aliseda inmobiliaria;Alcoi;Venta;Idealista;"{""barrio"": null, ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
4;2;105000.0;https://www.idealista.com/inmueble/107658044/;135.0;Inmobiliaria Numero Uno;Alcoi;Venta;Idealista;"{""barrio"": null, ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
4;3;185000.0;https://www.idealista.com/inmueble/108954761/;174.0;Particular;Alcoi / Centre - Zona Alta (Zona Alta);Venta;Idealista;"{""barrio"": ""Centre - Zona Alta"", ""extras"": [""Zona Alta""], ""municipio"": ""Alcoi"", ""subzona"": null}"
3;1;145000.0;https://www.idealista.com/inmueble/108475879/;131.0;INMOBILIARIA NORTE;Alcoi;Venta;Idealista;"{""barrio"": null, ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
0;1;83475.0;https://www.idealista.com/inmueble/107385916/;72.0;Aliseda inmobiliaria;Alcoi;Venta;Idealista;"{""barrio"": null, ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
0;2;112125.0;https://www.idealista.com/inmueble/108459600/;85.0;Aliseda inmobiliaria;Alcoi;Venta;Idealista;"{""barrio"": null, ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
