id_inmueble,link_inmueble,titulo,localizacion,precio,metros_cuadrados,habitaciones,baños,zona,tipo_de_operacion,fecha_inclusion,lat,lon,municipio,precio_bajada,consumo_energia,emisiones_energia,descripcion,breadcrumb,fotos_total,ref_catastral,edificabilidad_m2techo,parcela_m2,parcela_min_m2,fachada_min_m,altura_max_m,sector_urbanistico,link_inmueble_siguiente,anunciante
https://www.picoblanes.com/local-comercial-en-alcoy-ensanche-es965477.html,https://www.picoblanes.com/local-comercial-en-alcoy-ensanche-es965477.html,LOC0134,"ENSANCHE, Alcoy, Alicante",150000.0,215.0,,,ENSANCHE,Venta,2025-08-24,38.701933355755,-0.47953630966552,,,,,,,,,,,,,,,,
https://www.picoblanes.com/nave-en-alcoy-viaducto-es832692.html,https://www.picoblanes.com/nave-en-alcoy-viaducto-es832692.html,NAV0017,"VIADUCTO, Alcoy, Alicante",99000.0,312.0,,,VIADUCTO,Venta,2025-08-24,38.696155309404,-0.46938528968633,,,,,,,,,,,,,,,,
https://www.picoblanes.com/local-comercial-en-alcoy-el-cami-es1319447.html,https://www.picoblanes.com/local-comercial-en-alcoy-el-cami-es1319447.html,LOC0229,"EL CAMI, Alcoy, Alicante",700.0,187.0,,,EL CAMI,Alquiler,2025-08-24,38.693161161377,-0.47502752694414,,,,,,,,,,,,,,,,
https://www.picoblanes.com/casa-chalet-en-cocentaina-cocentaina-con-piscina-es1010952.html,https://www.picoblanes.com/casa-chalet-en-cocentaina-cocentaina-con-piscina-es1010952.html,CHA0079,"COCENTAINA, Cocentaina, Alicante",415000.0,505.0,6.0,3.0,COCENTAINA,Venta,2025-08-24,38.763612399467,-0.44572163956436,,,,,,,,,,,,,,,,
https://www.picoblanes.com/casa-chalet-en-cocentaina-gormaig-con-piscina-es1254437.html,https://www.picoblanes.com/casa-chalet-en-cocentaina-gormaig-con-piscina-es1254437.html,CHA0109,"GORMAIG, Cocentaina, Alicante",630000.0,227.0,4.0,3.0,GORMAIG,Venta,2025-08-24,38.720570011924,-0.46435496079384,,,,,,,,,,,,,,,,
https://www.picoblanes.com/piso-en-alcoy-ensanche-con-garaje-es1251685.html,https://www.picoblanes.com/piso-en-alcoy-ensanche-con-garaje-es1251685.html,PIS0732,"ENSANCHE, Alcoy, Alicante",125000.0,159.0,5.0,1.0,ENSANCHE,Venta,2025-08-24,38.704801926614,-0.47695052548039,,,,,,,,,,,,,,,,
https://www.picoblanes.com/atico-en-alcoy-centro-con-ascensor-es1264761.html,https://www.picoblanes.com/atico-en-alcoy-centro-con-ascensor-es1264761.html,ATC0053,"CENTRO, Alcoy, Alicante",160000.0,92.0,2.0,1.0,CENTRO,Venta,2025-08-24,38.695766461154,-0.47653296941538,,,,,,,,,,,,,,,,
https://www.picoblanes.com/nave-en-alcoy-beniata-es772543.html,https://www.picoblanes.com/nave-en-alcoy-beniata-es772543.html,NAV0002,"BENIATA, Alcoy, Alicante",120000.0,400.0,,,BENIATA,Venta,2025-08-24,38.68665762267,-0.47504047573286,,,,,,,,,,,,,,,,
https://www.picoblanes.com/local-comercial-en-alcoy-ensanche-es1539090.html,https://www.picoblanes.com/local-comercial-en-alcoy-ensanche-es1539090.html,LOC0245,"ENSANCHE, Alcoy, Alicante",70520.0,218.0,,,ENSANCHE,Venta,2025-08-24,38.699675011236,-0.48674340189685,,,,,,,,,,,,,,,,
https://www.picoblanes.com/local-comercial-en-alcoy-santa-rosa-es917375.html,https://www.picoblanes.com/local-comercial-en-alcoy-santa-rosa-es917375.html,LOC0090,"SANTA ROSA, Alcoy, Alicante",35000.0,47.0,,,SANTA ROSA,Venta,2025-08-24,38.693132913734,-0.48549081367858,,,,,,,,,,,,,,,,
