id_inmueble,titulo,localizacion,precio,metros_cuadrados,m2_construidos,m2_utiles,habitaciones,baños,terraza,estado,planta,exterior,ascensor,anunciante,anunciante_link,link_inmueble,fecha_inclusion
109318371,"Alquiler de piso en Calle Sant Joan de Ribera, 21",Centro - Zona Alta,580,90,90,84,3,1,True,Segunda mano/buen estado,Planta 1ª exterior,True,False,,,https://www.idealista.com/inmueble/109318371/,2025-09-23
108112210,Alquiler de piso en Centro - Zona Alta,Alcoy / Alcoi,550,77,77,,,1,,Segunda mano/buen estado,Planta 3ª exterior,True,False,Inmobiliaria Hache,https://www.idealista.com/pro/inmobiliaria-hache/,https://www.idealista.com/inmueble/108112210/,2025-09-23
108732897,"Alquiler de estudio en Calle Sant Blai, 24",Centro - Zona Alta,330,35,35,30,0,1,,Segunda mano/buen estado,Planta 1ª interior,False,False,Avanhouse,https://www.idealista.com/pro/avanhouse/,https://www.idealista.com/inmueble/108732897/,2025-09-23
109305215,Alquiler de piso en Barri Zona Nord,Alcoy / Alcoi,650,90,90,,3,2,,Segunda mano/buen estado,Planta 5ª exterior,True,True,Inmobiliaria Norte,https://www.idealista.com/pro/inmobiliarianorte/,https://www.idealista.com/inmueble/109305215/,2025-09-23
109203774,Alquiler de piso en Barri Zona Nord,Alcoy / Alcoi,550,111,111,,2,1,,Segunda mano/buen estado,Planta 4ª,,True,Tarrazó Inmobiliaria,https://www.idealista.com/pro/tarrazo/,https://www.idealista.com/inmueble/109203774/,2025-09-23
91703475,"Alquiler de piso en Calle Puríssima, 14",Centro - Zona Alta,460,75,75,56,2,1,,Segunda mano/buen estado,Bajo exterior,True,False,,,https://www.idealista.com/inmueble/91703475/,2025-09-23
109226390,Alquiler de piso en Calle Músic Gonçal Blanes,Centro - Zona Alta,600,120,120,115,4,2,,Segunda mano/buen estado,Planta 3ª exterior,True,False,Inmobiliaria carbonell,https://www.idealista.com/pro/inmobiliaria-carbonell-30408/,https://www.idealista.com/inmueble/109226390/,2025-09-23
109258225,"Alquiler de piso en Calle Sant Nicolau, 98",Centro - Zona Alta,700,119,119,,2,2,,Segunda mano/buen estado,Planta 2ª exterior,True,False,,,https://www.idealista.com/inmueble/109258225/,2025-09-23
109274880,Alquiler de casa o chalet independiente en Barri Eixample,Alcoy / Alcoi,1200,240,240,,5,3,True,Segunda mano/buen estado,,,,,,https://www.idealista.com/inmueble/109274880/,2025-09-23
109301673,"Alquiler de piso en Carretera Molinar, 32",Centro - Zona Alta,570,60,60,55,2,1,,Segunda mano/buen estado,Planta 2ª exterior,True,False,,,https://www.idealista.com/inmueble/109301673/,2025-09-23
109184906,"Alquiler de estudio en san nicolau, 61",Centro - Zona Alta,525,88,88,,0,1,,Segunda mano/buen estado,Entreplanta exterior,True,False,,,https://www.idealista.com/inmueble/109184906/,2025-09-23
101854015,Alquiler de piso en Barri Eixample,Alcoy / Alcoi,550,82,82,72,2,1,,Segunda mano/buen estado,Planta 1ª exterior,True,True,NEXT HOME INMOBILIARIA,https://www.idealista.com/pro/inmonexthome/,https://www.idealista.com/inmueble/101854015/,2025-09-23
108761429,Alquiler de piso en Calle Na Saurina d'Entença,Barri Eixample,480,75,75,,3,1,,Segunda mano/buen estado,Planta 2ª exterior,True,False,Inmobiliaria Terra,https://www.idealista.com/pro/inmobiliaria-terra/,https://www.idealista.com/inmueble/108761429/,2025-09-23
