id_inmueble,titulo,localizacion,precio,metros_cuadrados,habitaciones,baños,anunciante,anunciante_link,link_inmueble,m2_construidos,m2_utiles,terraza,estado,planta,exterior,ascensor,fecha_inclusion
88650204,Piso en venta en Alzamora s/n,Barri Santa Rosa,400000.0,351.0,5.0,3.0,inmobiliaria aracil,https://www.idealista.com/pro/inmobiliaria-aracil/,https://www.idealista.com/inmueble/88650204/,,,,,,,,2025-08-23
107405143,Piso en venta en Calle Sant Nicolau,Centro - Zona Alta,199900.0,99.0,3.0,2.0,Inversiones Car&Mar,https://www.idealista.com/pro/inversiones-car-mar/,https://www.idealista.com/inmueble/107405143/,,,,,,,,2025-08-23
108809209,"Casa o chalet independiente en venta en Calle Forn del Vidre, 10",Centro - Zona Alta,170000.0,322.0,1.0,1.0,Century 21 Plaza,https://www.idealista.com/pro/century-21-plaza/,https://www.idealista.com/inmueble/108809209/,,,,,,,,2025-08-23
104420416,Dúplex en venta en Calle Pintor Casanova,Centro - Zona Alta,80000.0,98.0,1.0,1.0,NEXT HOME INMOBILIARIA,https://www.idealista.com/pro/inmonexthome/,https://www.idealista.com/inmueble/104420416/,,,,,,,,2025-08-23
91211804,Casa rural en venta en Fuente Roja s/n,Barri Batoi - Sargento - Baradello,1500.0,1097.0,8.0,5.0,inmobiliaria aracil,https://www.idealista.com/pro/inmobiliaria-aracil/,https://www.idealista.com/inmueble/91211804/,,,,,,,,2025-08-23
107579238,Piso en venta en Calle Santa Rosa,Barri Santa Rosa,175000.0,145.0,4.0,2.0,OLCINA INMOBILIARIA,https://www.idealista.com/pro/olcinainmobiliaria/,https://www.idealista.com/inmueble/107579238/,,,,,,,,2025-08-23
109007961,Piso en venta en Calle Pintor Casanova,Centro - Zona Alta,110000.0,90.0,1.0,1.0,Te Compro La Casa,https://www.idealista.com/pro/te-compro-la-casa/,https://www.idealista.com/inmueble/109007961/,,,,,,,,2025-08-23
108433514,Piso en venta en Camino Caseta Albors,Centro - Zona Alta,165000.0,126.0,3.0,2.0,OLCINA INMOBILIARIA,https://www.idealista.com/pro/olcinainmobiliaria/,https://www.idealista.com/inmueble/108433514/,,,,,,,,2025-08-23
92887373,Masía en venta en Santa Rosa s/n,Barri Batoi - Sargento - Baradello,400000.0,450.0,10.0,3.0,inmobiliaria aracil,https://www.idealista.com/pro/inmobiliaria-aracil/,https://www.idealista.com/inmueble/92887373/,,,,,,,,2025-08-23
96281910,"Masía en venta en Partida Polop Alt, 26",Barri Batoi - Sargento - Baradello,1000.0,2248.0,11.0,4.0,inmobiliaria aracil,https://www.idealista.com/pro/inmobiliaria-aracil/,https://www.idealista.com/inmueble/96281910/,,,,,,,,2025-08-23
86939336,Chalet pareado en venta en Llometes s/n,Barri Eixample,355000.0,850.0,5.0,2.0,inmobiliaria aracil,https://www.idealista.com/pro/inmobiliaria-aracil/,https://www.idealista.com/inmueble/86939336/,,,,,,,,2025-08-23
96761312,"Casa o chalet independiente en venta en Llidoner, 2",Barri Batoi - Sargento - Baradello,380000.0,258.0,4.0,3.0,inmobiliaria aracil,https://www.idealista.com/pro/inmobiliaria-aracil/,https://www.idealista.com/inmueble/96761312/,,,,,,,,2025-08-23
106506148,"Finca rústica en venta en Carretera Partida de Los Pagos, 44",Barri Eixample,224000.0,270.0,6.0,3.0,Kevin Soriano,https://www.idealista.com/pro/kevin-soriano/,https://www.idealista.com/inmueble/106506148/,,,,,,,,2025-08-23
106789653,Casa o chalet independiente en venta en Calle Sant Joan de Ribera,Centro - Zona Alta,700000.0,256.0,4.0,3.0,OLCINA INMOBILIARIA,https://www.idealista.com/pro/olcinainmobiliaria/,https://www.idealista.com/inmueble/106789653/,,,,,,,,2025-08-23
108167077,Piso en venta en Calle Santa Rosa,Barri Santa Rosa,115000.0,107.0,4.0,2.0,Wolo,https://www.idealista.com/pro/wolo/,https://www.idealista.com/inmueble/108167077/,,,,,,,,2025-08-23
108955434,"Piso en venta en Calle Sotarroni, 2",Barri Batoi - Sargento - Baradello,93000.0,110.0,3.0,2.0,INMOBROKERS.ES,https://www.idealista.com/pro/inmobrokerses/,https://www.idealista.com/inmueble/108955434/,,,,,,,,2025-08-23
108999975,Piso en venta en Calle Sant Nicolau,Centro - Zona Alta,55000.0,70.0,2.0,2.0,RE/MAX TRUE Valencia,https://www.idealista.com/pro/remaxtrue/,https://www.idealista.com/inmueble/108999975/,,,,,,,,2025-08-23
109000098,Piso en venta en Calle Sant Nicolau,Centro - Zona Alta,45000.0,47.0,1.0,1.0,RE/MAX TRUE Valencia,https://www.idealista.com/pro/remaxtrue/,https://www.idealista.com/inmueble/109000098/,,,,,,,,2025-08-23
108510805,Ático en venta en Calle Santa Rosa,Barri Santa Rosa,159000.0,129.0,3.0,1.0,Altages Inmobiliaria,https://www.idealista.com/pro/altages-inmobiliaria/,https://www.idealista.com/inmueble/108510805/,,,,,,,,2025-08-23
108046261,Casa o chalet independiente en venta en Partida Polop Baix,Barri Batoi - Sargento - Baradello,4300.0,240.0,22.0,12.0,inmobiliaria aracil,https://www.idealista.com/pro/inmobiliaria-aracil/,https://www.idealista.com/inmueble/108046261/,,,,,,,,2025-08-23
